Niveau1;Niveau2;Niveau3;URL;Base;Avancé
MenuLM_Competition;;;;;
MenuLM_Competition;MenuLM_Open;;index.php;;
MenuLM_Competition;MenuLM_Close;;Common/TourOff.php;;
MenuLM_Competition;MenuLM_Delete;;Tournament/TourDelete.php;;
MenuLM_Competition;MenuLM_View Competition Info;;Main.php;;
MenuLM_Competition;MenuLM_Edit Competition Info;;;;
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Competition Info;Tournament/index.php;;
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Images;Tournament/ManLogo.php;;
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Session;Tournament/ManSessions_kiss.php;;
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Field Crew;Tournament/ManStaffField.php;;
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Divisions and Classes;Tournament/ManDivClass.php;X;X
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_SubClasses;Tournament/ManSubClass.php;X;X
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Distances;Tournament/ManDistances.php;X;X
MenuLM_Competition;MenuLM_Edit Competition Info;MenuLM_Targets;Tournament/ManTargets.php;X;X
MenuLM_Competition;MenuLM_Scheduling;;Scheduler/index.php;;
MenuLM_Competition;MenuLM_Training;;Final/ManTraining.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;;;;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Manage Events;Final/Individual/ListEvents.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Archers on Targets;Final/PhaseDetails.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Arr4Set;Final/PhaseDetails.php?option=ArrowPhase;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Target's Number;Final/Individual/ManTarget.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Scheduling;Final/Individual/ManSchedule.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_Training;Final/ManTraining.php;X;
MenuLM_Competition;MenuLM_Individual Final Setup;MenuLM_RunningEvents;Final/RunningEvent.php;X;
MenuLM_Competition;MenuLM_Team Final Setup;;;;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_Manage Events;Final/Team/ListEvents.php;X;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_Arr4Set;Final/PhaseDetails.php?team=1&option=ArrowPhase;X;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_Target's Number;Final/Team/ManTarget.php;X;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_Scheduling;Final/Team/ManSchedule.php;X;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_Training;Final/ManTraining.php;X;
MenuLM_Competition;MenuLM_Team Final Setup;MenuLM_RunningEvents;Final/RunningEvent.php;X;
MenuLM_Competition;R-Session;;;;
MenuLM_Competition;R-Session;RoundRobinSetup;Modules/RoundRobin/Setup.php;X;
MenuLM_Competition;R-Session;GroupAssignment;Modules/RoundRobin/Grouping.php;X;
MenuLM_Competition;R-Session;TargetAssignment;Modules/RoundRobin/Targets.php;X;
MenuLM_Competition;MenuLM_Final Field of Play Layout;;Final/FopSetup.php;X;
MenuLM_Competition;MenuLM_Security;;Tournament/BlockTour.php;X;X
MenuLM_Competition;MenuLM_Security;MenuLM_Lock setup;Tournament/BlockTour.php;X;X
MenuLM_Competition;MenuLM_Security;MenuLM_Lock manage;Tournament/AccessControlList/index.php;X;X
MenuLM_Competition;MenuLM_Final report;;;;
MenuLM_Competition;MenuLM_Final report;MenuLM_EditFinalReport;Tournament/FinalReport/index.php;X;X
MenuLM_Competition;MenuLM_Final report;MenuLM_PrintFinalReport;Tournament/FinalReport/PDFReport.php;X;X
MenuLM_Competition;MenuLM_Final report;MenuLM_CheckList;Tournament/FinalReport/PDFCheckList.php;X;X
MenuLM_Competition;MenuLM_Export;;Tournament/TournamentExport.php?Complete=1;;
MenuLM_Competition;MenuLM_Export;Export2Fitarco;Tournament/Export2Fitarco.php;X;X
MenuLM_Competition;MenuLM_Export;MenuLM_Export Tournament;Tournament/TournamentExport.php;X;X
MenuLM_Competition;MenuLM_Export;MenuLM_Export Tournament Photo;Tournament/TournamentExport.php?Complete=1;;
MenuLM_Competition;MenuLM_Export;MenuLM_Export Entries;Partecipants/EntriesExchange.php;X;X
MenuLM_Competition;MenuLM_Export;MenuLM_OdsExport;Modules/OdsExport/;X;X
MenuLM_Competition;MenuLM_Export;MenuLM_Export-FR-Results;Modules/Sets/FR/exports/;;
MenuLM_Competition;MenuLM_Send to ianseo.net;;;;
MenuLM_Competition;MenuLM_Send to ianseo.net;MenuLM_Set on-line codes;Tournament/SetCredentials.php;;
MenuLM_Competition;MenuLM_Send to ianseo.net;MenuLM_Send;Tournament/UploadResults.php;;
MenuLM_Competition;MenuLM_Send to ianseo.net;;Modules/SyncroWeb/;X;X
MenuLM_Competition;MenuLM_Send to ianseo.net;MenuLM_UpdateWeb;Modules/UpdateWeb/UpdateWeb.php;X;X
MenuLM_Competition;MenuLM_Select Language;;Language/index.php;;
MenuLM_Participants;;;;;
MenuLM_Participants;MenuLM_List (Simple);;Partecipants/index.php;;
MenuLM_Participants;MenuLM_Partecipant List (Advanced);;Partecipants-exp/index.php;X;
MenuLM_Participants;MenuLM_Athletes Participation to Ind/Team Event;;Partecipants/ManEventAccess.php;X;
MenuLM_Participants;MenuLM_Athlete Status Management;;Partecipants/ManStatus.php;X;
MenuLM_Participants;MenuLM_IrmManagement;;Partecipants/ManIrmStatus.php;X;
MenuLM_Participants;MenuLM_Target;;;;
MenuLM_Participants;MenuLM_Target;MenuLM_Manual Assignment;Partecipants/SetTarget_default.php?Ses=*;;
MenuLM_Participants;MenuLM_Target;MenuLM_Draw;Partecipants/SetTarget_auto.php;;
MenuLM_Participants;MenuLM_Target;MenuLM_MoveSession;Partecipants/MoveSession.php;X;X
MenuLM_Participants;MenuLM_Target;MenuLM_MoveTarget;Partecipants/MoveTarget.php;X;X
MenuLM_Participants;MenuLM_Target;MenuLM_TargetFromRank;Partecipants/TargetFromRank.php;X;X
MenuLM_Participants;MenuLM_Target;MenuLM_DeleteTarget;Partecipants/DeleteTarget.php;;
MenuLM_Participants;MenuLM_Accreditation;;;;
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Accreditation;Accreditation/index.php;X;X
MenuLM_Participants;MenuLM_Accreditation;TakePicture;Accreditation/AccreditationPicture.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Fees setup;Accreditation/ManagePrices.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Athlets fees status;Accreditation/ManagePays.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Accreditation colors management;Accreditation/Colors.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_PrintBadges;Accreditation/IdCards.php;X;
MenuLM_Participants;MenuLM_Accreditation;MenuLM_Printout;Accreditation/PrintOut.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_GateSituation;Accreditation/GateSituation.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_GateControl;Accreditation/GateControl.php;X;X
MenuLM_Participants;MenuLM_Accreditation;MenuLM_QrCodesGates;Accreditation/QRcodes.php;X;X
MenuLM_Participants;MenuLM_Athletes Sync.;;Partecipants/LookupTableLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_Athletes Sync.;Partecipants/LookupTableLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_ListLoad;Partecipants/ListLoad.php;;
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_AthletesDiscrepancies;Partecipants/Discrepancies.php;X;X
MenuLM_Participants;MenuLM_Athletes Sync.;MenuLM_ChangeNationsNames;Partecipants/ChangeNationsNames.php;X;
MenuLM_Participants;MenuLM_Athletes Sync.;TourCountries;Tournament/Countries.php;X;
MenuLM_Participants;MenuLM_Statistics;;Partecipants/PrintOutStat.php;;
MenuLM_Participants;MenuLM_Printout;;Partecipants/PrintOut.php;;
MenuLM_Participants;MenuLM_Speaker;;Modules/Speaker/participants.php;X;
MenuLM_Qualification;;;;;
MenuLM_Qualification;MenuLM_Input Score;;;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Standard Table;Qualification/index.php;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Extended Table;Qualification/index_all.php;;
MenuLM_Qualification;MenuLM_Input Score;MenuLM_Arrow by Arrow (Advanced user);Qualification/WriteArrows.php;X;
